https://fragalysis.diamond.ac.uk/viewer/react/projects/320/287,,,,,
smiles,name,compound_set,red,red-text,blue
COCC(=O)Nc1cccc(N)n1,CHIKV_Mac-5XWK,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)Nc1ccccc1N,CHIKV_Mac-4MRA,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Nc1ccc(S(=O)(=O)Nc2cnc3c(c2)NCCC3)cc1,CHIKV_Mac-4DTJ,Fstein_pures_arg144-2024-04-08-A,,,TRUE
Cn1cc(/C(N)=N\Cc2cn(C)c3ccccc23)c(C(F)F)n1,CHIKV_Mac-A7UC,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Cn1cc([C@](N)(O)Nc2ccccn2)c(C(F)F)n1,CHIKV_Mac-CAFW,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
N[C@@](O)(OC1=CC2=CC=CC2=C1)c1cnn(CCO)c1,CHIKV_Mac-63NT,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Cc1c(Nc2ccccc2)c(O)nc2c1NCCC2,CHIKV_Mac-LSRS,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COCC(=O)N[C@H]1C[C@@H]2CC[C@@]3(NN(C)C[C@@]13C(N)=O)[C@H]2F,CHIKV_Mac-6NCC,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
Nc1cc[nH]cccc2c1NCCC2,CHIKV_Mac-ACJ3,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
NCCCc1cc(NCN)ccn1,CHIKV_Mac-9USZ,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
COc1c(Nc2ccc(O)cc2)cnc2c1NCCC2,CHIKV_Mac-9P4W,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CC(=O)/C(=C/c1cn(C)c2ccccc12)c1cccc(NC(N)=O)c1,CHIKV_Mac-59UA,Fstein_pures_arg144-2024-04-08-A,,,TRUE
CC(=O)[C@H](c1cccc(NC(N)=O)c1)c1cn(C)c2ccccc12,CHIKV_Mac-4EHT,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
C[C@](O)(Nc1ccccn1)c1ccc(N)c2ccc(NC(N)=O)cc12,CHIKV_Mac-RP4W,Fstein_pures_arg144-2024-04-08-A,,,TRUE
NC(=O)Nc1ccc2c(N)ccc(S(=O)(=O)Nc3ccccn3)c2c1,CHIKV_Mac-6PJV,Fstein_pures_arg144-2024-04-08-A,,,TRUE
N[C@H]1CCNc2cccnc21,CHIKV_Mac-4MXG,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CN(C)C(=O)Cn1nc(CNc2ccc(O)cc2)c2ccccc21,CHIKV_Mac-5LFY,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
CN(C)C(=O)Cn1nc(CNc2ccc(O)cc2)c2ccccc21,CHIKV_Mac-7VHF,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
N[C@@H]1CCc2ncccc2N1,CHIKV_Mac-67ZJ,Fstein_pures_arg144-2024-04-08-A,TRUE,red,
