https://fragalysis.diamond.ac.uk/viewer/react/projects/312/279,,,,,
smiles,name,compound_set,red,red-text,blue
NC(=O)N[C@@H]1CCC[C@]2(CCCc3c(N)noc32)C1,CHIKV_Mac-4P35,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1ccc2c(N)noc2c1,CHIKV_Mac-7YCC,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1ccc2c(N)noc2c1,CHIKV_Mac-DJU6,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cc2ccccc2c2onc(N)c12,CHIKV_Mac-DMAL,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
COCCONc1cc([C@H](N)NO)ccc1N,CHIKV_Mac-V5DS,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
COCCONc1cc([C@H](N)NO)ccc1N,CHIKV_Mac-CPZP,Fstein_pures_adenine-2024-04-05-A,,,TRUE
COC(=O)c1cccc2c(N)noc12,CHIKV_Mac-73FH,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
COC(=O)c1cnc2[nH]cc(N)cc1-2,CHIKV_Mac-AGC9,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Cc1ccc2c3c([nH]c(N)c13)C=CC=C2,CHIKV_Mac-DKY7,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1c(N)nc2cccc3c2c1NC=C3,CHIKV_Mac-6NCF,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Nc1ccc([C@H](N)NO)cc1CNNCCO,CHIKV_Mac-6Y3H,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Cc1c(N)ccc2c(N)noc12,CHIKV_Mac-5GV3,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Nc1noc2c(Br)cccc12,CHIKV_Mac-DNXA,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1ccc(N(C)CC(N)=O)c2onc(N)c12,CHIKV_Mac-YXXJ,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Cc1nsc(N(C)CC(N)=O)c1ONCN,CHIKV_Mac-9VFJ,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Cc1cccc2c(NCC(=O)N(C)C)[nH]c(N)c12,CHIKV_Mac-X9NU,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC(C)c1c(N)ccc2c(N)noc12,CHIKV_Mac-AN5V,Fstein_pures_adenine-2024-04-05-A,,,TRUE
N[C@@H]1NC2(NCCN2)c2ccccc21,CHIKV_Mac-4UMF,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NC1=c2ccccc2=C2N=NC=C12,CHIKV_Mac-4RPG,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
c1cc2c(ccc3c[nH]nc32)cn1,CHIKV_Mac-5D5M,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCOc1[nH]c(N)c2cccc(C)c12,CHIKV_Mac-97J9,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1ccc2c(N)noc2c1,CHIKV_Mac-6GUF,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Nc1cc2c[nH]nc2c2ccnc(O)c12,CHIKV_Mac-74F6,Fstein_pures_adenine-2024-04-05-A,,,TRUE
c1cc2c(cn1)CCCc1c[nH]nc1-2,CHIKV_Mac-UWFR,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC[C@H](N)Nc1cccc(CNN)c1,CHIKV_Mac-5VAC,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cc2c(cn1)CCCC1=C2NNC1,CHIKV_Mac-CN9E,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NNCc1cccc(N[C@H](N)S)c1,CHIKV_Mac-9353,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC1=CNN2ON=c3cnccc3=C12,CHIKV_Mac-DG9P,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CCCNc1cc(CNCC)no1,CHIKV_Mac-7GKN,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cn[nH]c1-c1ccnc(C(C)C)c1,CHIKV_Mac-94UR,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cnccc1-c1c(C)cnn1C,CHIKV_Mac-7AH7,Fstein_pures_adenine-2024-04-05-A,,,TRUE
CC1=NC(=O)c2c(C)cc(C)c(C)c21,CHIKV_Mac-4KVD,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cnccc1-c1n[nH]cc1C,CHIKV_Mac-57RZ,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CNc1nccc2cccc(C)c12,CHIKV_Mac-5K9W,Fstein_pures_adenine-2024-04-05-A,,,TRUE
Cc1c[nH]nc1-c1c(CO)cnc2occc12,CHIKV_Mac-6LSH,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
FCCc1c[nH]nc1-c1ccncc1,CHIKV_Mac-9TTL,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cncc2c1-c1n[nH]cc1CCC2,CHIKV_Mac-JJK7,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cnccc1-c1nn(C(=O)N(C)C)cc1C,CHIKV_Mac-7UHL,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC(C)c1c(N)ncc2c1-c1n[nH]cc1CCC2,CHIKV_Mac-5ZGF,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cn(C)nc1-c1c(C)cncc1C,CHIKV_Mac-AEK4,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cc(-c2n[nH]cc2C)ccn1,CHIKV_Mac-CE3S,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
N[S@@]1(=O)=Cc2c[nH]nc2-c2ccncc21,CHIKV_Mac-A3UN,Fstein_pures_adenine-2024-04-05-A,,,TRUE
